feature,dominant_pc,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44
delta_branch_instructions,15,0.0009164721102063822,-0.0021050727170111795,-0.007532118080883456,0.044911416728196006,0.054255803708857055,-0.018781254923007126,4.606481280038695e-05,-0.033156143630040706,-0.014331592002481576,-0.064641439625017,0.5336611033046669,-0.08938309156001714,-0.16624922539224463,-0.4292778594943839,-0.5905427897450894,-0.35540136244380116,-0.06600067749317516,0.027532868847517242,-0.0038394771551224804,0.03535605748972389,-0.02485790396733432,-0.04857126977909771,0.005426866916391384,2.3288880191875892e-05,-0.0006756041971762326,0.001618958389939269,0.0001531776189641609,5.59816154045574e-05,-1.5183478972226088e-07,2.0737092759594725e-17,-1.4398213189886093e-16,1.9577987002429085e-16,-1.3778888930560033e-16,-4.2214790520567475e-18,2.770605530560524e-31,9.204208382437574e-31,4.778422634960989e-31,-3.432742270408065e-17,1.1704217009748268e-16,2.002726322183099e-17,-2.1090916905837543e-17,-3.240054159836209e-17,3.23256172214864e-16,2.84220067072565e-16
delta_cache_misses,18,0.014153412948683249,-0.029841386127637336,-0.022023916983905052,0.15626422394787073,0.1378778146738402,-0.016268605063026926,0.025091854161313085,0.019671958675481792,0.44539022781642146,-0.37125544570968233,-0.0898007920937379,0.016961610096969053,0.006496131681606161,0.07821895717950528,-0.006170945276166597,-0.0308703222497834,-0.05951217186763759,0.7319605645523213,-0.04960170682229425,0.22578422568259846,-0.05369645928646611,-0.07948609802788222,0.00201401072362921,-0.0030070015318149883,-0.005100257199021119,0.004427350731508004,0.00066633861783604,-0.0005876154518967183,-4.953278040524581e-06,9.486650459484589e-17,-3.466861897898857e-18,-3.7678491361083826e-16,-2.1575342821737615e-17,8.280049735521153e-17,-4.044285750929676e-31,-1.611747978549476e-30,-8.370176827374933e-31,-8.357650333882694e-17,-1.6512875554137738e-16,1.5263949793255683e-16,5.127567441018625e-17,1.257306044185247e-16,-5.352159899280075e-16,-3.321911741090405e-16
delta_stalled_cycles_backend,17,0.010098113882850049,-0.020754119622181995,-0.0326648393766572,0.18847014439273152,0.20491841306041697,-0.0476347703014568,0.028050331820393574,0.27965763638631097,0.05454917338891093,-0.04800048841662332,-0.02143764276835109,0.02207841603778814,-0.11175891626176468,0.09934414638386836,-0.15111988551541294,0.08515780344306664,0.6715549928632041,-0.2598088733110557,-0.0807362873767242,0.5016157472781505,-0.020566006726205732,0.05316947123891217,0.03258147180252192,0.003264726902633164,-0.0007242843212805971,0.0011199540006623654,0.00019958288855837777,-0.0009712618168454468,-3.792825294240843e-06,-1.2978175409544546e-16,-1.746929575791992e-17,-6.613869722703159e-16,9.530974931691777e-18,9.62801446510725e-18,-4.496181444848739e-31,-1.8741106546248106e-30,-9.336135326030489e-31,-2.5814584413361083e-17,-3.086191329813935e-17,-3.816307395218372e-17,-5.328489847766099e-17,-2.0497400401050933e-16,-4.830094724830505e-16,-5.289727356813817e-16
delta_llc_load_misses,39,0.0,0.0,0.0,0.0,1.3877787807814457e-17,-0.0,-7.979727989493313e-17,-0.0,-1.942890293094024e-16,3.382710778154774e-16,-1.0495077029659683e-16,6.591949208711867e-17,-9.020562075079397e-17,2.5673907444456745e-16,-6.938893903907228e-18,-2.1510571102112408e-16,0.0,7.632783294297951e-17,-1.8041124150158794e-16,-3.122502256758253e-17,-1.1102230246251565e-16,-0.0,-5.551115123125783e-17,-1.734723475976807e-16,-3.3306690738754696e-16,-1.6653345369377348e-16,1.1796119636642288e-16,-9.228728892196614e-16,-1.7130820525144974e-11,0.5122658777199584,-0.08856964875091798,0.00036933265447697955,-0.1629950573917986,-0.0337864114075597,1.607741755863889e-17,9.745685475519993e-17,1.9537296553721142e-17,0.058347614893640626,0.6709749816491287,-0.22963110119154412,0.09418121070588267,0.046479704673725995,-0.36042172120160126,0.2339945465167912
delta_llc_store_misses,39,2.5849394142282115e-26,4.235164736271502e-22,-6.938893903907228e-18,3.469446951953614e-18,-0.0,-0.0,1.0408340855860843e-16,-5.551115123125783e-17,3.2786273695961654e-16,-4.2327252813834093e-16,-2.1684043449710089e-16,-9.71445146547012e-17,2.7755575615628914e-17,-1.942890293094024e-16,2.7755575615628914e-17,2.220446049250313e-16,1.6653345369377348e-16,-2.983724378680108e-16,3.7470027081099033e-16,-5.551115123125783e-17,2.7755575615628914e-17,-1.3877787807814457e-17,-2.7755575615628914e-17,-3.0531133177191805e-16,-3.3306690738754696e-16,-8.326672684688674e-17,7.28583859910259e-17,-5.412337245047638e-16,-1.3929085315722567e-11,-0.40164644140616185,0.45911105840378497,0.4315152319269109,0.10839780008696284,-0.04633912806676396,-1.0081200541866532e-16,-4.265010484201804e-18,5.3120674654651514e-17,-0.04849705124521859,0.548487312883029,0.016078664040194333,-0.03150723785871829,0.19298507920832966,0.11702221745164978,-0.26910112020619414
delta_cpu_migrations,40,-1.6155871338926322e-27,-2.6469779601696886e-23,1.734723475976807e-18,1.734723475976807e-18,-1.734723475976807e-18,-0.0,2.7755575615628914e-17,2.7755575615628914e-17,2.636779683484747e-16,-3.469446951953614e-16,1.2836953722228372e-16,3.469446951953614e-17,2.7755575615628914e-17,-1.1102230246251565e-16,-5.551115123125783e-17,-1.942890293094024e-16,5.551115123125783e-17,-1.5612511283791264e-16,1.457167719820518e-16,0.0,0.0,-5.551115123125783e-17,-8.326672684688674e-17,8.673617379884035e-17,-1.6653345369377348e-16,-5.551115123125783e-17,1.214306433183765e-17,-5.637851296924623e-17,1.005219085054021e-11,-0.017352381235960758,0.42805672405292283,0.3143768671355847,0.12590095041609609,-0.05269852041858723,-2.653873088706137e-16,-3.3679755300478723e-16,-2.107141638770627e-16,0.2895581061662859,-0.401693299186975,-0.44392472387002385,-0.0265710855950882,0.05529976077485751,-0.41421194112949306,0.285305372664855
delta_page_faults_min,8,0.0028060943106404594,0.0027560129353869475,-0.06555315546856474,0.1064883666807471,0.11478673009944158,0.14168824949710282,0.004433132652400201,0.787695328653875,-0.18628364078476736,0.14560663359969225,0.0023261313196846194,-0.00371992139800613,0.00880246423720671,0.012105719631534699,-0.04234182508644218,0.05575476939966758,-0.270383911677729,0.10378460975844414,0.0369134307618954,-0.032672721987458804,0.16117856079690845,-0.21226857019304832,-0.32953622327908055,-0.06000924465918915,-0.003300896426293735,-0.00357167274373499,-0.0007271342487623453,0.0003354506903470317,4.5694221721104575e-06,1.120935044956092e-16,2.8258282354237126e-17,7.830633805602832e-16,-2.4344788634784796e-17,-4.56854677745573e-18,5.765640787502726e-31,2.3808675330701964e-30,1.2087752291696117e-30,6.679096148426562e-17,1.7721398764511518e-17,-4.2247488607774164e-17,4.015795473508251e-17,9.23713917295527e-17,6.198368177540981e-16,6.65870254941288e-16
delta_page_faults_maj,15,0.0006093017263823319,-0.0008254847974166848,0.0045456081707548135,0.02505111364250201,0.032989624060051244,-0.0775395767115617,0.07391296288722188,0.14052948858599448,-0.01010848546191728,-0.23190637122016028,0.10900691122171886,-0.02676932866944121,0.25636958472600113,-0.3844914384866378,0.6288256037485143,-0.5038732513973576,0.11528940027701484,-0.11402834633418463,0.0049259019172276375,0.07737367573557791,0.010857953196728807,-0.06111697863189414,-0.03869404936433573,-0.00552649691237964,0.0003288211935485367,-0.001203985092758596,0.00010596669595155842,8.72926290374514e-05,9.027891347937421e-07,-7.516426530884763e-17,-2.822140071348192e-19,-6.24020568375059e-16,3.9052032982204194e-17,-1.1127172360670814e-18,-4.083089934198652e-31,-1.714774773437322e-30,-8.737446482725872e-31,-5.829210876106822e-17,9.713391807591918e-17,9.735181326258049e-17,2.174635289160596e-17,-3.768541866428284e-17,-4.147971838903742e-16,-5.816523580093182e-16
delta_stalled_cycles_frontend,12,0.00028426573747828766,-0.0008489562021763706,-0.003660298825056409,0.02243037814756556,0.028018679107743215,-0.010938097902963535,-0.0002925175668710268,-0.03617859468247619,-0.026941565099336578,0.034077934837723284,-0.4749663741557352,-0.5765844068516909,0.4510968440824855,-0.38230384630429337,-0.2568292556565444,0.12442385650342666,0.007354128340428424,-0.006671439010045939,-0.007743408006340525,0.07485772300471022,-0.010547665125155608,-0.019228477477256544,0.0028260647944255506,8.96559164588542e-05,-0.0003321295274439416,0.0008446153611637974,0.00018163946475487273,1.4793389305753328e-05,-2.484901869504821e-07,3.662941861633944e-17,1.4948167913898288e-16,-6.579832166603377e-16,-1.473222411854314e-16,-5.277410392741598e-17,-5.030964387837272e-31,-2.027876440427788e-30,-1.0229529803255071e-30,-2.6003880024264885e-17,-1.9810149767268536e-17,-1.2567886541276352e-16,-5.600743734921222e-17,-7.373031011741341e-17,-7.474579296909472e-16,-4.964905437906019e-16
delta_branch_misses,44,0.0,3.2311742677852644e-27,0.0,-6.776263578034403e-21,-0.0,-5.421010862427522e-20,-8.326672684688674e-17,-1.0408340855860843e-16,1.4710455076283324e-15,-1.7208456881689926e-15,-5.0306980803327406e-17,-3.677613769070831e-16,6.938893903907228e-16,-2.2898349882893854e-16,1.6653345369377348e-16,7.216449660063518e-16,5.551115123125783e-16,-9.97465998686664e-16,1.0156805951844206e-15,5.377642775528102e-17,3.469446951953614e-18,-1.734723475976807e-18,-1.734723475976807e-18,1.1102230246251565e-16,0.0,0.0,2.710505431213761e-19,-9.540979117872439e-18,-2.7861046802968303e-12,-0.2474146813097013,-0.12666729770629642,0.05774089953792812,-0.17947728475730665,0.013050111929295418,-9.938900382576605e-17,-1.1036934948116718e-16,-1.4925021372511156e-16,0.44673595595208043,0.11100439880180119,0.12424984689914448,0.01955629073157371,0.2160488942049855,0.4207492686559532,0.6600018355295753
