penalty,delta_cpu_ns,delta_cycles,delta_instructions,delta_cache_misses,delta_branch_instructions,delta_io_bytes,delta_net_send_bytes,context_switches,syscall_count,delta_rss_memory,syscall_class_file,syscall_class_network,syscall_class_memory,syscall_class_process,syscall_class_other,syscall_class_sched,syscall_class_signal,syscall_class_time
23.70486868495522,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.98,0.0,1.0,1.0,0.9,1.0,0.0,0.12,0.22
32.47515461301144,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.94,0.0,1.0,1.0,0.84,1.0,0.0,0.1,0.18
44.49025561606853,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.94,0.0,1.0,1.0,0.8,1.0,0.0,0.1,0.12
60.950682710223816,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.72,1.0,0.0,0.1,0.14
83.50110988125311,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.84,0.0,1.0,1.0,0.66,1.0,0.0,0.1,0.12
114.394704724637,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.58,0.0,1.0,1.0,0.6,1.0,0.0,0.14,0.08
156.71825784886835,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.22,0.0,1.0,1.0,0.56,1.0,0.0,0.12,0.06
214.70060526232388,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.56,1.0,0.0,0.2,0.06
294.1351603363365,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.48,1.0,0.0,0.3,0.04
402.9587734062347,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.98,1.0,0.08,1.0,0.0,0.3,0.02
552.0447568369069,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.94,1.0,0.04,1.0,0.0,0.38,0.02
